Rk;Player;Nation;Pos;Squad;Age;Born;90s;xG;npxG;xAG;npxG+xAG;Gls.1;Ast.1;G+A.1;G-PK.1;G+A-PK;xG.1;xAG.1;xG+xAG;npxG.1;npxG+xAG.1;Matches;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;Dist;npxG/Sh;G-xG;np:G-xG;Cmp%;Cmp%.1;Cmp%.2;Cmp%.3;xA;A-xAG;SCA90;GCA90;Tkl%;Succ%;Tkld%;Min%;PPM;+/-90;On-Off;onxG;onxGA;xG+/-;xG+/-90;On-Off.1;Won%;MP_per90;Starts_per90;Min_per90;Gls_per90;Ast_per90;G+A_per90;G-PK_per90;PK_per90;PKatt_per90;CrdY_per90;CrdR_per90;PrgC_per90;PrgP_per90;PrgR_per90;Sh_per90;SoT_per90;FK_per90;Cmp_per90;Att_per90;TotDist_per90;PrgDist_per90;Cmp.1_per90;Att.1_per90;Cmp.2_per90;Att.2_per90;Cmp.3_per90;Att.3_per90;KP_per90;1/3_per90;PPA_per90;CrsPA_per90;Live_per90;Dead_per90;TB_per90;Sw_per90;Crs_per90;TI_per90;CK_per90;In_per90;Out_per90;Str_per90;Off_per90;Blocks_per90;SCA_per90;PassLive_per90;PassDead_per90;TO_per90;Fld_per90;Def_per90;GCA_per90;PassLive.1_per90;PassDead.1_per90;TO.1_per90;Fld.1_per90;Def.1_per90;Tkl_per90;TklW_per90;Def 3rd_per90;Mid 3rd_per90;Att 3rd_per90;Tkl.1_per90;Lost_per90;Pass_per90;Int_per90;Tkl+Int_per90;Clr_per90;Err_per90;Touches_per90;Def Pen_per90;Att Pen_per90;Succ_per90;Tkld_per90;Carries_per90;CPA_per90;Mis_per90;Dis_per90;Rec_per90;Mn/MP_per90;Mn/Start_per90;Compl_per90;Subs_per90;Mn/Sub_per90;unSub_per90;onG_per90;onGA_per90;+/-_per90;2CrdY_per90;Fls_per90;PKwon_per90;PKcon_per90;OG_per90;Recov_per90;Won_per90
510,0;Abakar Sylla;ci CIV;DF;Strasbourg;21,0;2002,0;10,6;0,4;0,4;0,1;0,5;0,09;0,0;0,09;0,09;0,09;0,04;0,01;0,05;0,04;0,05;Matches;20,0;0,47;0,09;0,2;1,0;9,0;0,08;0,6;0,6;88,6;91,8;92,7;48,9;0,1;-0,1;0,38;0,09;88,2;50,0;50,0;31,0;1,71;-0,57;-1,34;15,6;20,3;-4,7;-0,45;-0,36;57,1;1,98;0,94;89,62;0,09;0,0;0,09;0,09;0,0;0,0;0,19;0,09;0,0;1,98;0,28;0,47;0,09;0,0;55,0;62,08;941,51;339,91;21,13;23,02;31,32;33,77;2,08;4,25;0,09;1,98;0,09;0,0;55,57;6,51;0,0;0,09;0,09;1,13;0,0;0,0;0,0;0,0;0,0;0,66;0,38;0,28;0,0;0,0;0,0;0,0;0,09;0,0;0,0;0,0;0,0;0,0;2,55;1,42;1,32;1,04;0,19;1,42;0,19;0,75;1,04;3,58;5,94;0,0;74,62;14,25;0,85;0,28;0,28;40,09;0,0;0,47;0,38;46,89;4,25;7,36;0,66;1,04;1,42;0,85;1,42;1,98;-0,57;0,0;1,6;0,0;0,0;0,09;3,68;1,89
492,0;Abdallah Sima;sn SEN;FW,MF;Brest;23,0;2001,0;13,8;5,9;5,9;1,0;6,9;0,51;0,15;0,65;0,51;0,65;0,43;0,07;0,5;0,43;0,5;Matches;48,6;2,69;1,31;0,19;0,39;13,1;0,16;1,1;1,1;69,6;77,6;68,6;80,0;0,9;1,0;2,04;0,22;36,4;26,1;56,5;40,5;1,44;-0,58;-0,63;19,8;24,1;-4,3;-0,31;0,07;48,2;1,96;1,01;89,71;0,51;0,14;0,65;0,51;0,0;0,0;0,14;0,0;2,61;1,74;6,67;2,68;1,3;0,0;16,74;24,06;227,54;47,83;10,29;13,26;5,22;7,61;0,58;0,72;0,94;0,94;0,43;0,07;23,7;0,36;0,0;0,07;1,16;0,22;0,0;0,0;0,0;0,0;0,0;1,09;2,03;1,45;0,0;0,07;0,22;0,0;0,22;0,14;0,0;0,0;0,07;0,0;1,09;0,8;0,14;0,36;0,58;0,29;0,51;0,58;0,07;1,16;0,65;0,0;36,96;0,72;4,78;0,43;0,94;21,67;1,45;3,84;1,59;27,39;3,33;4,78;0,07;0,94;1,74;0,07;1,59;2,17;-0,58;0,0;1,16;0,0;0,0;0,0;4,42;2,97
54,0;Abdoulaye Bamba;ci CIV;DF;Angers;34,0;1990,0;16,8;0,1;0,1;0,3;0,4;0,0;0,0;0,0;0,0;0,0;0,01;0,02;0,02;0,01;0,02;Matches;0,0;0,06;0,0;0,0;;7,2;0,09;-0,1;-0,1;88,5;90,6;93,7;64,7;0,3;-0,3;0,6;0,0;73,7;100,0;0,0;49,3;0,79;-1,07;-0,9;16,9;25,6;-8,7;-0,52;0,25;39,3;1,13;0,95;89,88;0,0;0,0;0,0;0,0;0,0;0,0;0,12;0,0;0,06;0,95;0,18;0,06;0,0;0,0;30,83;34,82;622,56;198,21;7,5;8,27;20,3;21,67;2,62;4,05;0,36;1,13;0,24;0,18;32,8;2,02;0,06;0,06;0,3;1,19;0,0;0,0;0,0;0,0;0,0;0,24;0,6;0,48;0,0;0,0;0,0;0,12;0,0;0,0;0,0;0,0;0,0;0,0;1,31;0,71;1,01;0,24;0,06;0,83;0,3;0,36;1,13;2,44;4,7;0,0;44,23;5,36;0,18;0,12;0,0;24,29;0,0;0,18;0,24;27,86;4,7;5,24;0,83;0,18;1,96;0,71;0,65;1,73;-1,07;0,0;0,6;0,0;0,0;0,0;2,8;0,65
399,0;Abdoulaye Niakhate Ndiaye;sn SEN;DF;Brest;22,0;2002,0;19,0;1,0;1,0;0,0;1,0;0,05;0,0;0,05;0,05;0,05;0,05;0,0;0,05;0,05;0,05;Matches;18,2;0,58;0,11;0,09;0,5;9,1;0,09;0,0;0,0;86,4;89,2;90,7;73,5;0,2;0,0;0,58;0,0;67,6;25,0;75,0;55,8;1,86;0,16;0,82;22,8;33,6;-10,7;-0,57;-0,48;56,8;1,16;1,0;89,84;0,05;0,0;0,05;0,05;0,0;0,0;0,21;0,05;0,26;2,05;0,21;0,58;0,11;0,0;42,32;49,0;838,84;310,74;13,84;15,53;22,47;24,79;5,68;7,74;0,05;1,89;0,11;0,0;46,74;2,16;0,0;0,42;0,11;0,05;0,0;0,0;0,0;0,0;0,11;0,26;0,58;0,32;0,05;0,0;0,11;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,58;1,74;1,89;0,63;0,05;1,32;0,63;0,63;0,58;3,16;7,58;0,16;63,32;10,11;1,11;0,11;0,32;31,47;0,0;0,79;0,26;38,95;4,11;4,53;0,89;0,16;1,37;0,32;1,68;1,53;0,16;0,0;1,05;0,0;0,11;0,0;3,79;2,42
526,0;Abdoulaye Touré;gn GUI;MF;Le Havre;30,0;1994,0;25,8;9,4;2,2;0,4;2,6;0,39;0,04;0,43;0,08;0,12;0,37;0,02;0,38;0,08;0,1;Matches;15,8;1,47;0,23;0,05;0,33;25,4;0,06;0,6;-0,2;82,0;85,4;84,8;76,8;1,1;0,6;1,9;0,19;55,9;51,5;36,4;75,9;0,93;-1,08;-0,72;30,9;50,7;-19,9;-0,77;-0,58;61,2;1,09;1,01;90,08;0,39;0,04;0,43;0,08;0,31;0,35;0,19;0,0;0,66;4,22;1,09;1,47;0,23;0,0;33,64;41,05;626,74;167,25;13,41;15,7;15,19;17,91;4,11;5,35;0,27;3,49;0,39;0,19;40,31;0,5;0,12;0,47;0,43;0,0;0,0;0,0;0,0;0,0;0,23;0,31;1,9;1,36;0,0;0,04;0,27;0,04;0,19;0,12;0,0;0,0;0,04;0,0;2,36;1,32;1,2;0,81;0,35;1,28;1,01;0,66;1,32;3,68;1,63;0,19;52,48;3,02;1,09;0,66;0,47;27,67;0,0;1,12;1,16;32,25;3,22;3,37;0,66;0,08;1,05;0,0;1,12;2,21;-1,09;0,0;1,16;0,04;0,0;0,0;6,2;1,16
270,0;Abdukodir Khusanov;uz UZB;DF;Lens;20,0;2004,0;10,8;0,2;0,2;0,3;0,6;0,0;0,0;0,0;0,0;0,0;0,02;0,03;0,05;0,02;0,05;Matches;66,7;0,55;0,37;0,0;0,0;24,6;0,04;-0,2;-0,2;88,1;92,6;92,4;67,2;0,2;-0,3;1,02;0,0;63,6;100,0;0,0;31,9;1,62;0,28;0,28;14,3;13,1;1,3;0,12;-0,11;69,2;1,2;1,02;90,28;0,0;0,0;0,0;0,0;0,0;0,0;0,19;0,09;0,19;3,98;0,56;0,56;0,37;0,19;44,72;50,74;827,96;348,98;16,11;17,41;23,61;25,56;3,98;5,93;0,19;3,61;0,37;0,09;48,24;2,41;0,0;0,28;0,46;0,74;0,0;0,0;0,0;0,0;0,09;0,28;1,02;0,83;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,39;1,02;0,83;0,46;0,09;0,65;0,37;0,56;2,41;3,8;5,28;0,0;63,24;8,33;0,37;0,09;0,0;31,39;0,0;0,46;0,09;36,3;6,94;8,06;0,93;0,19;0,83;0,0;1,11;0,83;0,28;0,0;1,2;0,0;0,09;0,0;4,63;2,5
7,0;Abner;br BRA;DF;Lyon;24,0;2000,0;12,1;0,6;0,6;1,1;1,7;0,08;0,08;0,17;0,08;0,17;0,05;0,09;0,14;0,05;0,14;Matches;42,9;0,58;0,25;0,14;0,33;17,7;0,08;0,4;0,4;84,1;91,5;86,2;60,0;2,3;-0,1;2,06;0,08;65,6;50,0;50,0;35,6;1,84;0,25;-0,48;21,3;15,5;5,8;0,48;0,08;43,8;1,57;0,99;90,08;0,08;0,08;0,17;0,08;0,0;0,0;0,08;0,0;2,56;5,45;4,55;0,58;0,25;0,0;46,94;55,79;690,5;288,76;27,69;30,25;14,96;17,36;2,73;4,55;0,91;3,72;0,91;0,17;47,6;8,02;0,08;0,41;2,56;6,78;0,5;0,5;0,0;0,0;0,17;1,57;2,07;1,74;0,25;0,0;0,0;0,0;0,08;0,08;0,0;0,0;0,0;0,0;2,4;1,65;0,99;0,83;0,58;1,74;0,91;1,07;0,41;2,81;3,39;0,0;65,37;3,31;1,82;0,5;0,5;35,21;0,41;1,16;0,66;42,4;4,71;6,86;0,5;0,58;1,16;1,07;1,49;1,24;0,25;0,0;1,32;0,0;0,0;0,0;3,72;0,58
229,0;Achraf Hakimi;ma MAR;DF;Paris S-G;25,0;1998,0;23,0;2,9;2,9;6,2;9,1;0,17;0,26;0,44;0,17;0,44;0,13;0,27;0,4;0,13;0,4;Matches;37,5;1,39;0,52;0,13;0,33;19,2;0,09;1,1;1,1;88,7;93,8;89,0;65,6;5,3;-0,2;4,53;0,48;49,1;50,0;40,4;67,5;2,64;1,96;0,87;64,6;20,1;44,6;1,94;0,75;42,9;1,09;1,04;89,83;0,17;0,26;0,43;0,17;0,0;0,0;0,17;0,0;4,04;7,96;11,91;1,39;0,52;0,22;82,52;93,04;1132,74;325,3;51,61;55,04;24,91;28,0;2,74;4,17;2,17;6,0;1,61;0,39;84,74;8,17;0,09;0,35;3,48;6,52;0,17;0,0;0,04;0,0;0,13;1,39;4,52;3,96;0,13;0,17;0,13;0,09;0,48;0,43;0,0;0,04;0,0;0,0;2,09;1,57;0,78;0,87;0,43;1,17;1,22;1,0;1,35;3,43;0,78;0,13;103,09;1,74;3,52;1,13;0,91;60,17;0,91;1,65;0,65;79,0;3,61;3,7;0,87;0,04;0,74;0,09;2,83;0,87;1,96;0,0;0,83;0,0;0,0;0,0;5,91;0,39
415,0;Ado Onaiwu;jp JPN;MF,FW;Auxerre;28,0;1995,0;10,6;4,0;4,0;1,1;5,1;0,38;0,09;0,47;0,38;0,47;0,37;0,1;0,47;0,37;0,47;Matches;60,9;2,16;1,32;0,17;0,29;13,9;0,18;0,0;0,0;73,3;78,6;78,7;69,2;1,1;-0,1;2,63;0,09;28,6;44,0;52,0;31,3;1,23;0,0;0,13;14,3;21,6;-7,4;-0,69;-0,25;58,7;2,92;0,85;90,28;0,38;0,09;0,47;0,38;0,0;0,0;0,09;0,09;1,6;3,11;6,98;2,17;1,32;0,0;22,74;31,04;300,85;76,7;13,49;17,17;6,6;8,4;0,85;1,23;0,94;1,98;0,85;0,38;30,28;0,38;0,09;0,0;0,66;0,09;0,0;0,0;0,0;0,0;0,38;1,32;2,64;2,17;0,0;0,0;0,19;0,09;0,09;0,09;0,0;0,0;0,0;0,0;1,04;0,66;0,19;0,57;0,28;0,38;0,94;1,13;0,28;1,32;1,13;0,0;43,21;0,85;2,83;1,04;1,23;25,28;0,38;2,74;2,08;32,64;2,92;6,51;0,09;2,08;1,42;0,19;1,7;1,7;0,0;0,0;0,85;0,0;0,0;0,0;4,25;3,49
444,0;Adrien Rabiot;fr FRA;MF;Marseille;29,0;1995,0;27,6;7,3;7,3;3,8;11,1;0,33;0,14;0,47;0,33;0,47;0,26;0,14;0,4;0,26;0,4;Matches;45,8;1,74;0,8;0,19;0,41;13,2;0,15;1,7;1,7;84,8;91,4;86,0;56,7;3,8;0,2;2,39;0,4;59,4;52,0;46,0;81,2;1,79;0,69;-0,56;55,3;35,4;19,9;0,72;0,94;56,7;1,05;0,98;90,04;0,33;0,14;0,47;0,33;0,0;0,0;0,14;0,0;2,86;6,09;6,3;1,74;0,8;0,0;47,43;55,91;652,93;146,05;28,12;30,76;15,58;18,12;1,38;2,43;1,01;5,33;0,87;0,18;54,64;1,16;0,22;0,0;1,45;0,4;0,0;0,0;0,0;0,0;0,11;1,38;2,39;1,92;0,0;0,18;0,07;0,0;0,4;0,29;0,0;0,07;0,04;0,0;1,78;1,12;0,62;0,76;0,4;0,69;0,47;0,69;0,76;2,54;1,16;0,0;66,01;1,3;3,62;0,94;0,83;39,71;0,58;1,88;1,12;52,36;3,12;3,26;0,98;0,07;1,01;0,0;2,1;1,41;0,69;0,0;1,92;0,0;0,04;0,0;4,49;1,23
524,0;Adrien Thomasson;fr FRA;MF;Lens;30,0;1993,0;29,1;5,9;5,9;6,0;11,9;0,1;0,24;0,34;0,1;0,34;0,2;0,21;0,41;0,2;0,41;Matches;26,8;1,41;0,38;0,07;0,27;14,3;0,15;-2,9;-2,9;81,8;88,1;84,1;68,3;5,2;1,0;3,75;0,38;54,7;43,3;53,3;85,5;1,48;0,14;0,34;45,2;37,7;7,4;0,26;0,44;27,4;1,13;1,07;89,86;0,1;0,24;0,34;0,1;0,0;0,0;0,24;0,0;1,03;5,12;4,74;1,41;0,38;0,0;45,29;55,4;707,7;175,36;23,92;27,15;16,22;19,28;3,33;4,88;1,92;3,4;1,0;0,24;52,89;2,34;0,14;0,31;1,99;0,27;0,82;0,27;0,45;0,0;0,17;1,13;3,75;2,92;0,31;0,0;0,1;0,14;0,38;0,27;0,0;0,0;0,0;0,0;3,09;1,62;1,44;0,86;0,79;1,79;1,48;1,55;0,65;3,75;0,96;0,07;68,56;1,79;3,85;0,89;1,1;36,29;0,31;2,3;1,41;46,77;2,71;2,85;0,62;0,07;0,93;0,0;1,24;1,1;0,14;0,0;1,75;0,0;0,03;0,0;7,08;0,58
529,0;Adrien Truffert;fr FRA;DF,MF;Rennes;22,0;2001,0;30,6;2,4;2,3;3,2;5,5;0,07;0,07;0,13;0,07;0,13;0,08;0,11;0,18;0,08;0,18;Matches;43,5;0,75;0,33;0,09;0,2;19,7;0,1;-0,4;-0,3;78,9;90,0;79,0;48,6;4,0;-1,2;2,49;0,26;66,7;36,4;50,0;89,9;1,24;-0,16;-1,92;42,1;42,9;-0,8;-0,02;-0,99;50,0;1,08;1,01;89,93;0,07;0,07;0,13;0,07;0,0;0,0;0,1;0,0;2,25;3,4;7,94;0,75;0,33;0,0;41,27;52,32;644,41;199,8;21,86;24,28;16,01;20,26;2,29;4,71;1,27;1,83;1,27;0,65;42,88;9,25;0,03;0,1;4,74;7,12;1,24;0,36;0,62;0,0;0,2;1,27;2,48;1,73;0,39;0,07;0,1;0,03;0,26;0,2;0,0;0,03;0,0;0,0;1,99;1,18;0,88;0,69;0,42;1,05;0,52;1,24;0,88;2,88;1,83;0,03;62,29;2,32;1,86;0,52;0,72;31,73;0,49;1,18;0,82;38,76;2,71;2,88;0,82;0,07;0,56;0,0;1,44;1,6;-0,16;0,0;0,82;0,0;0,0;0,0;4,54;0,88
372,0;Aimen Moueffek;fr FRA;MF;Saint-Étienne;23,0;2001,0;11,5;1,1;1,1;1,1;2,2;0,0;0,09;0,09;0,0;0,09;0,09;0,1;0,19;0,09;0,19;Matches;20,0;0,87;0,17;0,0;0,0;15,6;0,11;-1,1;-1,1;84,8;89,7;86,8;57,1;1,0;-0,1;1,82;0,26;43,5;45,8;54,2;34,0;1,09;-0,87;0,38;13,1;24,2;-11,1;-0,96;0,23;34,6;1,91;1,13;90,35;0,0;0,09;0,09;0,0;0,0;0,0;0,17;0,0;1,74;3,74;2,7;0,87;0,17;0,0;29,22;34,43;418,87;98,52;17,48;19,48;9,74;11,22;1,04;1,83;0,87;3,39;0,7;0,09;33,91;0,52;0,17;0,0;0,35;0,09;0,0;0,0;0,0;0,0;0,0;0,61;1,83;1,48;0,0;0,26;0,0;0,0;0,26;0,26;0,0;0,0;0,0;0,0;1,74;1,04;0,26;0,96;0,52;0,87;1,13;1,13;0,43;2,17;2,26;0,09;48,17;3,04;2,17;0,96;1,13;26,26;0,35;2,96;1,13;30,43;4,09;5,57;0,09;0,78;1,91;0,17;1,48;2,35;-0,87;0,0;1,74;0,0;0,0;0,0;5,13;0,78
323,0;Ainsley Maitland-Niles;eng ENG;DF;Lyon;26,0;1997,0;22,1;2,9;2,9;3,4;6,4;0,05;0,18;0,23;0,05;0,23;0,13;0,16;0,29;0,13;0,29;Matches;31,8;1,0;0,32;0,05;0,14;16,0;0,13;-1,9;-1,9;85,0;91,9;86,9;62,9;3,2;0,6;2,49;0,27;63,2;42,5;52,5;64,9;1,69;0,63;0,22;42,9;27,4;15,5;0,7;0,78;51,7;1,45;0,9;89,82;0,05;0,18;0,23;0,05;0,0;0,0;0,05;0,0;1,49;4,62;4,98;1,0;0,32;0,0;47,47;55,84;730,77;228,69;26,02;28,33;17,47;20,09;2,76;4,39;1,22;2,99;1,36;0,32;47,56;7,96;0,18;0,32;2,17;6,7;0,5;0,32;0,09;0,0;0,32;1,27;2,49;2,13;0,05;0,05;0,0;0,05;0,27;0,27;0,0;0,0;0,0;0,0;3,21;1,99;1,36;1,18;0,68;2,17;1,27;1,09;1,13;4,34;2,76;0,27;68,28;3,03;3,08;0,77;0,95;33,94;0,45;1,27;0,9;41,45;2,81;4,03;0,86;0,54;0,81;0,09;1,99;1,36;0,63;0,0;0,72;0,0;0,0;0,0;4,03;0,68
9,0;Akor Adams;ng NGA;FW;Montpellier;24,0;2000,0;11,9;4,3;4,3;1,0;5,3;0,25;0,08;0,33;0,25;0,33;0,36;0,08;0,44;0,36;0,44;Matches;46,2;2,18;1,0;0,12;0,25;13,3;0,16;-1,3;-1,3;62,6;71,3;65,3;30,0;0,1;0,0;2,09;0,42;75,0;50,0;42,9;35,1;0,53;-1,42;0,35;12,8;23,6;-10,8;-0,9;-0,04;50,9;1,26;1,09;90,34;0,25;0,08;0,34;0,25;0,0;0,0;0,17;0,0;0,92;0,5;3,78;2,18;1,01;0,0;9,41;15,04;129,41;16,64;6,05;8,49;2,69;4,12;0,25;0,84;1,01;0,67;0,0;0,0;13,45;1,43;0,08;0,17;0,42;0,0;0,0;0,0;0,0;0,0;0,17;0,59;2,1;1,51;0,0;0,34;0,17;0,0;0,42;0,17;0,0;0,08;0,17;0,0;0,34;0,25;0,08;0,17;0,08;0,25;0,08;0,08;0,08;0,42;0,42;0,08;21,09;0,42;4,12;0,59;0,5;10,59;0,59;1,34;1,18;14,62;6,05;6,64;0,59;0,17;1,85;0,08;1,01;2,44;-1,43;0,0;1,43;0,17;0,0;0,0;2,02;2,35
293,0;Alban Lafont;fr FRA;GK;Nantes;25,0;1999,0;12,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;Matches;;0,0;0,0;;;;;0,0;0,0;69,8;100,0;100,0;38,4;0,0;0,0;0,17;0,0;100,0;;;35,3;0,83;-0,42;-0,05;13,1;16,9;-3,8;-0,32;0,26;100,0;1,0;1,0;90,0;0,0;0,0;0,0;0,0;0,0;0,0;0,08;0,0;0,0;0,0;0,0;0,0;0,0;0,0;21,33;30,58;588,17;441,0;3,42;3,42;12,25;12,25;5,67;14,75;0,17;0,83;0,0;0,0;23,17;7,33;0,0;0,08;0,0;0,0;0,0;0,0;0,0;0,0;0,08;0,08;0,17;0,08;0,08;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,08;0,08;0,08;0,0;0,0;0,08;0,0;0,17;0,0;0,08;0,67;0,08;34,0;27,83;0,0;0,0;0,0;19,0;0,0;0,0;0,0;17,67;7,5;7,5;1,0;0,0;;0,33;1,17;1,58;-0,42;0,0;0,0;0,0;0,0;0,0;0,92;0,42
223,0;Albert Grønbaek;dk DEN;MF,FW;Rennes;23,0;2001,0;9,0;1,5;1,5;1,0;2,5;0,22;0,11;0,33;0,22;0,33;0,17;0,12;0,28;0,17;0,28;Matches;40,9;2,44;1,0;0,09;0,22;18,6;0,07;0,5;0,5;62,8;78,8;64,2;38,2;0,9;0,0;3,21;0,55;35,7;29,7;64,9;26,6;1,06;0,44;0,56;10,2;8,9;1,3;0,15;0,1;26,7;1,78;1,0;90,33;0,22;0,11;0,33;0,22;0,0;0,0;0,11;0,0;2,56;3,33;6,44;2,44;1,0;0,22;17,22;27,44;263,44;91,67;10,33;13,11;4,78;7,44;1,44;3,78;2,11;1,0;1,44;0,0;23,67;3,44;0,11;0,11;3,11;0,56;2,11;1,78;0,33;0,0;0,33;1,67;3,22;1,89;0,56;0,33;0,22;0,0;0,56;0,11;0,11;0,22;0,11;0,0;2,33;1,22;1,11;0,78;0,44;1,11;2,0;0,89;0,44;2,78;0,67;0,0;42,89;0,56;4,56;1,22;2,67;24,22;1,33;3,67;1,67;27,78;5,67;7,56;0,11;0,78;3,22;0,11;1,67;1,22;0,44;0,0;1,11;0,0;0,0;0,0;2,67;0,44
213,0;Aleksandr Golovin;ru RUS;MF,FW;Monaco;28,0;1996,0;12,8;2,3;2,3;2,4;4,7;0,23;0,0;0,23;0,23;0,23;0,18;0,19;0,37;0,18;0,37;Matches;37,5;1,87;0,7;0,13;0,33;21,4;0,1;0,7;0,7;77,1;83,4;82,1;58,7;3,2;-2,4;3,74;0,08;43,6;59,5;32,4;37,7;1,58;0,23;-0,66;24,8;15,8;9,0;0,7;-0,66;40,9;1,48;1,02;90,08;0,23;0,0;0,23;0,23;0,0;0,0;0,08;0,0;3,05;8,75;5,62;1,88;0,7;0,0;40,86;52,97;648,52;239,84;21,95;26,33;13,28;16,17;4,22;7,19;1,88;6,02;2,42;0,23;50,62;1,95;0,7;0,31;1,8;0,47;0,55;0,16;0,23;0,0;0,39;1,02;3,75;2,81;0,23;0,31;0,08;0,0;0,08;0,08;0,0;0,0;0,0;0,0;2,97;1,88;0,7;1,56;0,7;1,33;1,72;0,94;0,94;3,91;0,55;0,0;65,62;0,55;2,42;1,72;0,94;39,38;0,7;2,11;1,41;43,98;4,77;6,41;0,55;0,47;1,09;0,16;1,64;1,41;0,23;0,0;1,95;0,0;0,0;0,0;7,89;0,7
291,0;Alexandre Lacazette;fr FRA;FW;Lyon;33,0;1991,0;22,8;16,3;11,7;3,4;15,0;0,66;0,09;0,75;0,44;0,53;0,71;0,15;0,86;0,51;0,66;Matches;58,5;2,33;1,36;0,19;0,32;13,5;0,22;-1,3;-1,7;71,8;79,6;69,4;54,3;4,9;-1,4;2,46;0,22;31,3;45,2;48,4;67,0;1,77;0,75;0,57;41,6;29,7;11,9;0,52;0,29;33,3;1,32;1,05;89,96;0,66;0,09;0,75;0,44;0,22;0,26;0,22;0,0;1,05;2,89;6,97;2,32;1,36;0,04;17,24;23,99;228,11;59,25;10,96;13,77;4,08;5,88;0,83;1,54;1,14;1,49;1,1;0,18;22,37;1,45;0,18;0,31;0,75;0,04;0,0;0,0;0,0;0,0;0,18;0,88;2,46;1,8;0,0;0,18;0,13;0,04;0,22;0,09;0,0;0,0;0,0;0,0;0,57;0,26;0,13;0,31;0,13;0,22;0,48;0,44;0,35;0,92;0,31;0,0;32,54;0,48;6,01;0,61;0,66;18,33;0,44;2,24;0,88;25,09;2,98;3,51;0,35;0,26;0,96;0,0;1,89;1,14;0,75;0,0;2,11;0,0;0,04;0,0;1,23;0,7
449,0;Alexsandro Ribeiro;br BRA;DF;Lille;24,0;1999,0;30,0;1,6;1,6;0,4;2,0;0,03;0,03;0,07;0,03;0,07;0,05;0,01;0,07;0,05;0,07;Matches;19,0;0,7;0,13;0,05;0,25;10,3;0,08;-0,6;-0,6;91,2;93,7;95,3;68,9;1,0;0,6;1,33;0,13;66,7;62,5;25,0;88,2;1,83;0,53;0,53;46,8;36,5;10,2;0,34;-0,16;71,9;1,0;1,0;90,0;0,03;0,03;0,07;0,03;0,0;0,0;0,33;0,0;0,83;5,93;0,27;0,7;0,13;0,0;73,47;80,57;1457,27;495,23;21,17;22,6;45,1;47,33;6,57;9,53;0,3;6,37;0,2;0,07;75,53;5,0;0,1;0,33;0,27;0,4;0,0;0,0;0,0;0,0;0,03;0,3;1,33;1,07;0,07;0,0;0,0;0,07;0,13;0,13;0,0;0,0;0,0;0,0;1,07;0,63;0,6;0,43;0,03;0,67;0,33;0,33;0,9;1,97;4,77;0,1;90,4;10,0;1,27;0,17;0,07;57,9;0,0;0,73;0,33;66,07;3,0;3,0;1,0;0,0;;0,03;1,53;1,0;0,53;0,0;0,93;0,0;0,03;0,03;5,83;2,13
5,0;Ali Abdi;tn TUN;DF,MF;Nice;30,0;1993,0;15,5;4,3;4,3;1,9;6,2;0,32;0,13;0,45;0,32;0,45;0,28;0,12;0,4;0,28;0,4;Matches;37,9;1,87;0,71;0,17;0,45;16,9;0,17;0,7;0,7;74,0;85,7;76,7;45,8;1,7;0,1;2,91;0,19;65,1;41,4;55,2;45,5;1,8;0,65;-0,16;26,2;18,0;8,3;0,54;-0,17;61,1;1,61;1,1;89,87;0,32;0,13;0,45;0,32;0,0;0,0;0,13;0,0;2,26;2,71;6,52;1,87;0,71;0,06;32,39;43,74;510,58;174,26;17,35;20,26;12,13;15,81;2,13;4,65;1,29;1,23;1,35;0,45;35,55;7,87;0,0;0,13;3,29;7,1;0,0;0,0;0,0;0,0;0,32;1,42;2,9;2,13;0,19;0,26;0,0;0,06;0,19;0,06;0,06;0,0;0,0;0,0;2,77;1,61;1,16;0,9;0,71;1,81;0,97;0,9;1,29;4,06;2,39;0,0;57,16;3,29;3,23;0,77;1,03;25,23;0,58;2,06;0,9;31,03;3,61;4,97;0,39;0,52;0,65;0,06;1,68;1,03;0,65;0,0;1,74;0,0;0,0;0,0;4,65;1,42
