Rk;Player;Nation;Pos;Squad;Age;Born;90s;xG;npxG;xAG;npxG+xAG;Gls.1;Ast.1;G+A.1;G-PK.1;G+A-PK;xG.1;xAG.1;xG+xAG;npxG.1;npxG+xAG.1;Matches;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;Dist;npxG/Sh;G-xG;np:G-xG;Cmp%;Cmp%.1;Cmp%.2;Cmp%.3;xA;A-xAG;SCA90;GCA90;Tkl%;Succ%;Tkld%;Min%;PPM;+/-90;On-Off;onxG;onxGA;xG+/-;xG+/-90;On-Off.1;Won%;MP_per90;Starts_per90;Min_per90;Gls_per90;Ast_per90;G+A_per90;G-PK_per90;PK_per90;PKatt_per90;CrdY_per90;CrdR_per90;PrgC_per90;PrgP_per90;PrgR_per90;Sh_per90;SoT_per90;FK_per90;Cmp_per90;Att_per90;TotDist_per90;PrgDist_per90;Cmp.1_per90;Att.1_per90;Cmp.2_per90;Att.2_per90;Cmp.3_per90;Att.3_per90;KP_per90;1/3_per90;PPA_per90;CrsPA_per90;Live_per90;Dead_per90;TB_per90;Sw_per90;Crs_per90;TI_per90;CK_per90;In_per90;Out_per90;Str_per90;Off_per90;Blocks_per90;SCA_per90;PassLive_per90;PassDead_per90;TO_per90;Fld_per90;Def_per90;GCA_per90;PassLive.1_per90;PassDead.1_per90;TO.1_per90;Fld.1_per90;Def.1_per90;Tkl_per90;TklW_per90;Def 3rd_per90;Mid 3rd_per90;Att 3rd_per90;Tkl.1_per90;Lost_per90;Pass_per90;Int_per90;Tkl+Int_per90;Clr_per90;Err_per90;Touches_per90;Def Pen_per90;Att Pen_per90;Succ_per90;Tkld_per90;Carries_per90;CPA_per90;Mis_per90;Dis_per90;Rec_per90;Mn/MP_per90;Mn/Start_per90;Compl_per90;Subs_per90;Mn/Sub_per90;unSub_per90;onG_per90;onGA_per90;+/-_per90;2CrdY_per90;Fls_per90;PKwon_per90;PKcon_per90;OG_per90;Recov_per90;Won_per90
365,0;Aarón Martín;es ESP;DF;Genoa;27,0;1997,0;34,3;0,9;0,9;5,5;6,4;0,0;0,23;0,23;0,0;0,23;0,03;0,16;0,19;0,03;0,19;Matches;25,0;0,47;0,12;0,0;0,0;23,6;0,06;-0,9;-0,9;72,5;89,2;78,7;43,5;6,1;2,5;2,77;0,38;64,7;44,4;44,4;90,2;1,19;-0,32;-0,05;34,1;41,5;-7,4;-0,22;0,48;37,7;1,05;1,02;89,94;0,0;0,23;0,23;0,0;0,0;0,0;0,15;0,0;1,46;2,62;3,15;0,47;0,12;0,15;35,6;49,13;672,45;254,75;14,14;15,86;16,24;20,64;4,66;10,73;1,9;2,24;0,87;0,61;35,74;13,24;0,0;0,09;7,46;7,43;3,09;1,37;1,57;0,0;0,15;0,87;2,77;1,22;1,4;0,06;0,06;0,0;0,38;0,23;0,15;0,0;0,0;0,0;2,07;1,37;1,2;0,76;0,12;0,96;0,52;0,64;0,55;2,62;2,13;0,03;56,88;2,54;0,58;0,35;0,35;25,6;0,12;0,64;0,5;30,29;2,51;2,54;0,87;0,03;0,93;0,03;0,96;1,28;-0,32;0,0;1,11;0,0;0,03;0,0;4,26;0,58
255,0;Abdou Harroui;nl NED;MF,FW;Hellas Verona;26,0;1998,0;5,1;2,2;2,2;0,4;2,6;0,19;0,39;0,58;0,19;0,58;0,43;0,09;0,51;0,43;0,51;Matches;26,7;2,92;0,78;0,07;0,25;17,7;0,15;-1,2;-1,2;79,2;90,6;78,3;40,0;0,6;1,6;2,92;0,58;100,0;30,0;65,0;13,5;1,2;-0,78;0,07;6,7;10,7;-4,1;-0,79;-0,32;53,3;1,96;0,98;90,78;0,2;0,39;0,59;0,2;0,0;0,0;0,2;0,0;4,51;4,12;6,67;2,94;0,78;0,2;31,37;39,61;455,69;113,73;18,82;20,78;10,59;13,53;1,18;2,94;0,78;3,14;0,59;0,39;38,63;0,78;0,2;0,0;1,76;0,59;0,0;0,0;0,0;0,0;0,2;1,18;2,94;2,55;0,0;0,39;0,0;0,0;0,59;0,59;0,0;0,0;0,0;0,0;1,76;1,18;1,18;0,59;0,0;0,78;0,0;0,98;0,39;2,16;0,98;0,0;55,49;0,98;3,33;1,18;2,55;34,31;0,78;2,35;1,96;39,8;9,02;12,75;0,2;0,98;5,29;0,2;1,57;2,35;-0,78;0,0;1,96;0,0;0,0;0,0;4,31;1,57
370,0;Adam Marušić;me MNE;DF;Lazio;31,0;1992,0;26,0;2,0;2,0;0,6;2,6;0,15;0,0;0,15;0,15;0,15;0,08;0,02;0,1;0,08;0,1;Matches;43,5;0,89;0,39;0,17;0,4;15,4;0,09;2,0;2,0;84,9;92,2;86,4;51,4;0,6;-0,6;1,27;0,12;60,0;43,5;52,2;68,3;1,6;0,0;-1,0;36,3;27,7;8,6;0,33;-0,58;52,7;1,35;1,0;89,88;0,15;0,0;0,15;0,15;0,0;0,0;0,04;0,0;0,88;3,23;4,15;0,88;0,38;0,0;40,5;47,69;623,62;198,31;21,38;23,19;15,92;18,42;2,15;4,19;0,5;2,77;0,62;0,35;40,15;7,5;0,0;0,12;2,08;6,5;0,0;0,0;0,0;0,0;0,04;0,58;1,27;0,96;0,08;0,0;0,0;0,04;0,12;0,04;0,0;0,0;0,0;0,0;1,23;0,77;0,69;0,46;0,08;0,69;0,46;0,38;0,62;1,85;2,35;0,0;55,12;2,92;1,19;0,38;0,46;26,27;0,0;0,46;0,5;35,62;2,58;3,19;0,73;0,35;0,81;0,12;1,5;1,5;0,0;0,0;0,77;0,0;0,0;0,04;3,19;1,12
371,0;Adam Masina;ma MAR;DF;Torino;30,0;1994,0;21,3;0,7;0,7;0,3;1,0;0,05;0,09;0,14;0,05;0,14;0,03;0,01;0,05;0,03;0,05;Matches;25,0;0,38;0,09;0,13;0,5;14,6;0,09;0,3;0,3;84,1;91,6;88,7;57,3;0,7;1,7;0,98;0,19;57,5;50,0;50,0;56,1;1,11;-0,38;-0,5;21,0;30,2;-9,3;-0,43;-0,04;74,2;1,31;0,94;90,09;0,05;0,09;0,14;0,05;0,0;0,0;0,23;0,0;0,7;3,43;0,47;0,38;0,09;0,0;50,05;59,48;937,65;331,22;18,4;20,09;26,24;29,58;4,98;8,69;0,19;3,38;0,28;0,09;56,24;3,1;0,05;0,38;0,66;1,17;0,0;0,0;0,0;0,0;0,14;0,19;0,99;0,8;0,0;0,09;0,05;0,05;0,19;0,09;0,0;0,05;0,05;0,0;1,55;0,7;1,03;0,47;0,05;1,08;0,8;0,61;1,27;2,82;4,46;0,09;70,52;8,78;0,56;0,28;0,28;40,05;0,05;0,56;0,38;45,59;3,24;4,08;0,7;0,38;1,03;0,42;0,94;1,31;-0,38;0,0;1,08;0,05;0,0;0,0;4,13;3,1
415,0;Adam Obert;sk SVK;DF;Cagliari;21,0;2002,0;12,0;0,9;0,9;0,4;1,3;0,08;0,08;0,17;0,08;0,17;0,07;0,03;0,11;0,07;0,11;Matches;22,2;0,75;0,17;0,11;0,5;12,0;0,11;0,1;0,1;76,9;88,5;85,2;41,8;0,2;0,6;2,09;0,33;59,3;35,7;64,3;31,5;0,81;-0,25;0,25;12,5;18,9;-6,3;-0,53;-0,29;53,2;1,75;1,08;89,75;0,08;0,08;0,17;0,08;0,0;0,0;0,33;0,0;1,0;4,17;1,58;0,75;0,17;0,0;34,42;44,75;574,5;218,83;16,67;18,83;14,83;17,42;2,33;5,58;0,83;3,0;0,33;0,08;35,83;8,67;0,0;0,25;0,92;7,67;0,0;0,0;0,0;0,0;0,25;1,42;2,08;1,58;0,25;0,0;0,08;0,0;0,33;0,33;0,0;0,0;0,0;0,0;2,58;1,5;1,0;1,42;0,17;1,33;0,92;1,0;1,92;4,5;4,0;0,17;59,17;5,58;1,08;0,42;0,75;24,83;0,0;2,17;0,58;27,5;4,25;6,0;0,42;0,67;1,42;1,25;1,08;1,33;-0,25;0,0;1,83;0,0;0,0;0,0;4,92;2,08
331,0;Ademola Lookman;ng NGA;MF,FW;Atalanta;26,0;1997,0;25,0;10,3;9,5;7,1;16,7;0,6;0,2;0,8;0,56;0,76;0,41;0,29;0,7;0,38;0,67;Matches;39,5;3,24;1,28;0,17;0,44;14,7;0,12;4,7;4,5;72,5;86,9;69,5;43,8;7,9;-2,1;5,41;0,6;57,9;35,6;61,5;65,7;2,03;1,08;0,01;42,8;22,4;20,4;0,82;0,36;56,7;1,24;1,12;89,88;0,6;0,2;0,8;0,56;0,04;0,04;0,16;0,0;5,68;2,92;12,64;3,24;1,28;0,0;27,36;37,76;386,48;106,36;17,44;20,08;7,12;10,24;1,68;3,84;2,44;1,16;1,72;0,52;33,68;3,88;0,12;0,04;4,96;0,36;3,36;1,56;0,92;0,04;0,2;1,4;5,4;3,0;1,0;0,68;0,08;0,04;0,6;0,4;0,0;0,12;0,04;0,0;1,28;0,6;0,36;0,6;0,32;0,44;0,32;0,76;0,12;1,4;0,2;0,04;50,96;0,04;7,96;1,48;2,56;33,08;3,24;2,88;2,04;38,96;2,88;3,04;0,28;0,12;1,68;0,08;2,0;0,92;1,08;0,0;1,24;0,0;0,0;0,0;2,76;0,68
59,0;Adrian Bernabe;es ESP;MF;Parma;23,0;2001,0;16,1;1,3;1,3;1,1;2,4;0,06;0,06;0,12;0,06;0,12;0,08;0,07;0,15;0,08;0,15;Matches;18,5;1,67;0,31;0,04;0,2;26,2;0,05;-0,3;-0,3;83,6;90,9;88,3;66,1;1,5;-0,1;3,59;0,25;43,8;45,5;39,4;42,5;1,1;-0,12;0,43;19,7;21,1;-1,4;-0,09;0,46;50,0;1,3;1,12;90,25;0,06;0,06;0,12;0,06;0,0;0,0;0,06;0,0;2,3;7,14;1,24;1,68;0,31;0,43;51,12;61,12;971,12;334,04;20,56;22,61;22,48;25,47;7,02;10,62;1,37;6,4;1,06;0,25;54,66;6,34;0,31;0,87;1,8;0,12;1,37;0,68;0,31;0,0;0,12;1,12;3,6;2,8;0,37;0,06;0,25;0,0;0,25;0,25;0,0;0,0;0,0;0,0;1,8;1,12;0,99;0,56;0,25;0,87;1,12;0,81;0,43;2,24;1,61;0,06;70,81;2,48;0,5;0,93;0,81;45,84;0,19;0,75;0,87;50,81;4,29;4,53;0,5;0,19;2,98;0,12;1,24;1,37;-0,12;0,0;0,56;0,0;0,0;0,0;4,47;0,25
559,0;Adrien Tameze;cm CMR;MF,DF;Torino;30,0;1994,0;7,2;0,4;0,4;0,8;1,2;0,0;0,0;0,0;0,0;0,0;0,05;0,12;0,17;0,05;0,17;Matches;42,9;0,97;0,42;0,0;0,0;15,1;0,06;-0,4;-0,4;86,0;86,1;92,6;73,7;0,7;-0,8;1,11;0,0;10,0;26,7;53,3;19,0;1,45;-0,14;0,02;9,6;9,7;-0,1;-0,01;0,5;57,9;2,78;1,25;90,14;0,0;0,0;0,0;0,0;0,0;0,0;0,42;0,0;2,22;3,19;2,92;0,97;0,42;0,0;35,97;41,81;571,11;125,56;17,22;20,0;15,56;16,81;1,94;2,64;0,83;1,39;0,83;0,14;40,42;1,39;0,0;0,0;1,25;0,28;0,0;0,0;0,0;0,0;0,0;0,97;1,11;0,83;0,0;0,14;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,69;0,28;0,28;0,42;0,0;0,14;1,25;0,42;1,39;2,08;1,11;0,14;51,11;2,08;1,81;0,56;1,11;29,72;0,0;1,39;0,42;35,69;4,44;7,92;0,0;1,53;1,81;1,94;1,25;1,39;-0,14;0,0;1,11;0,0;0,14;0,0;3,47;1,53
373,0;Alan Matturro;uy URU;DF;Genoa;19,0;2004,0;10,0;0,2;0,2;0,2;0,4;0,0;0,0;0,0;0,0;0,0;0,02;0,02;0,04;0,02;0,04;Matches;75,0;0,4;0,3;0,0;0,0;15,2;0,05;-0,2;-0,2;78,0;80,9;88,3;50,0;0,3;-0,2;0,9;0,0;21,4;60,0;40,0;26,3;1,15;-0,6;-0,39;7,4;12,9;-5,6;-0,56;-0,4;50,0;1,3;0,9;90,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2;0,0;1,2;1,5;0,9;0,4;0,3;0,0;28,0;35,9;563,7;180,6;7,2;8,9;18,1;20,5;2,5;5,0;0,3;1,0;0,4;0,2;32,5;3,3;0,0;0,1;0,8;2,8;0,0;0,0;0,0;0,0;0,1;0,7;0,9;0,7;0,1;0,0;0,0;0,1;0,0;0,0;0,0;0,0;0,0;0,0;1,1;0,6;0,6;0,5;0,0;0,3;1,1;0,7;1,4;2,5;3,8;0,0;45,8;5,1;0,9;0,3;0,2;21,8;0,1;0,6;0,3;26,0;6,9;9,0;0,9;0,4;2,3;1,2;0,7;1,3;-0,6;0,0;1,0;0,0;0,1;0,0;2,6;1,6
247,0;Albert Guðmundsson;is ISL;FW,MF;Fiorentina;27,0;1997,0;14,1;4,5;2,9;1,8;4,8;0,42;0,07;0,49;0,28;0,35;0,32;0,13;0,45;0,21;0,34;Matches;52,0;1,77;0,92;0,16;0,31;20,8;0,12;1,5;1,1;83,0;93,0;84,0;43,8;1,0;-0,8;2,76;0,35;41,2;55,6;22,2;37,2;1,71;0,71;0,33;16,8;16,3;0,4;0,03;-0,21;25,0;1,7;1,13;90,28;0,43;0,07;0,5;0,28;0,14;0,14;0,14;0,0;2,48;2,62;4,18;1,77;0,92;0,14;29,43;35,46;419,93;82,55;16,03;17,23;10,43;12,41;0,99;2,27;1,06;2,41;0,14;0,0;32,55;2,84;0,07;0,07;1,7;0,35;0,5;0,43;0,0;0,0;0,07;0,99;2,77;1,84;0,14;0,14;0,28;0,0;0,35;0,21;0,0;0,0;0,14;0,0;0,64;0,35;0,14;0,28;0,21;0,5;0,71;0,35;0,43;1,06;0,64;0,07;44,26;0,64;2,27;1,06;0,43;28,51;0,78;2,06;0,99;33,05;3,76;4,82;0,21;0,57;1,63;0,21;1,56;0,85;0,71;0,0;0,92;0,07;0,0;0,0;3,76;0,28
175,0;Alberto Dossena;it ITA;DF;Como;25,0;1998,0;20,3;0,8;0,8;0,7;1,5;0,0;0,1;0,1;0,0;0,1;0,04;0,03;0,07;0,04;0,07;Matches;25,0;0,59;0,15;0,0;0,0;11,3;0,07;-0,8;-0,8;87,6;92,3;92,7;59,1;0,4;1,3;0,54;0,1;57,1;66,7;33,3;53,4;0,91;-0,44;-0,78;22,7;22,9;-0,2;-0,01;-0,16;71,1;1,13;0,99;89,9;0,0;0,1;0,1;0,0;0,0;0,0;0,05;0,05;0,2;1,77;0,05;0,59;0,15;0,0;44,04;50,25;822,32;268,03;15,27;16,55;24,98;26,95;3,2;5,42;0,25;1,63;0,05;0,0;46,9;3,2;0,0;0,15;0,05;0,2;0,0;0,0;0,0;0,0;0,15;0,39;0,54;0,44;0,0;0,05;0,0;0,0;0,1;0,05;0,0;0,0;0,0;0,0;1,63;0,99;1,13;0,39;0,1;0,79;0,59;0,54;1,08;2,71;4,38;0,05;60,1;8,52;0,99;0,2;0,1;34,14;0,0;0,39;0,15;38,23;3,89;4,29;0,69;0,15;1,43;0,15;1,23;1,67;-0,44;0,0;1,08;0,0;0,1;0,0;3,35;2,91
244,0;Alberto Grassi;it ITA;MF;Empoli;29,0;1995,0;24,5;1,0;1,0;0,8;1,9;0,04;0,0;0,04;0,04;0,04;0,04;0,03;0,08;0,04;0,08;Matches;36,4;0,45;0,16;0,09;0,25;15,7;0,09;0,0;0,0;74,6;81,6;80,9;44,0;0,7;-0,8;1,1;0,08;63,6;41,7;50,0;64,4;0,68;-0,65;0,09;22,2;30,9;-8,7;-0,35;0,31;58,0;1,14;1,1;89,92;0,04;0,0;0,04;0,04;0,0;0,0;0,33;0,0;0,73;3,02;0,98;0,45;0,16;0,0;25,88;34,69;440,57;142,0;10,65;13,06;12,82;15,84;1,63;3,71;0,29;2,65;0,29;0,0;32,94;1,51;0,08;0,04;0,41;0,16;0,0;0,0;0,0;0,0;0,24;0,57;1,1;0,86;0,0;0,0;0,12;0,04;0,08;0,04;0,0;0,0;0,04;0,0;1,59;0,86;0,65;0,73;0,2;0,57;0,33;0,41;1,35;2,94;1,76;0,04;43,18;2,73;1,06;0,2;0,24;18,0;0,04;1,06;0,73;22,12;3,22;3,31;0,53;0,04;0,69;0,04;0,82;1,47;-0,65;0,0;1,14;0,04;0,0;0,0;5,06;1,18
392,0;Alberto Moreno;es ESP;DF;Como;32,0;1992,0;19,2;0,4;0,4;1,2;1,6;0,0;0,0;0,0;0,0;0,0;0,02;0,06;0,08;0,02;0,08;Matches;42,9;0,73;0,31;0,0;0,0;25,6;0,03;-0,4;-0,4;82,5;91,2;87,8;54,3;1,6;-1,2;1,88;0,1;46,2;42,9;42,9;50,5;1,21;-0,31;-0,47;21,0;23,3;-2,2;-0,12;-0,36;35,5;1,25;1,09;89,95;0,0;0,0;0,0;0,0;0,0;0,0;0,21;0,0;1,2;4,22;3,02;0,73;0,31;0,0;46,51;56,35;818,33;288,44;19,95;21,88;21,72;24,74;3,96;7,29;0,99;3,28;1,2;0,62;47,34;8,85;0,05;0,26;2,55;7,24;0,0;0,0;0,0;0,0;0,16;1,04;1,88;1,67;0,16;0,0;0,0;0,0;0,1;0,1;0,0;0,0;0,0;0,0;1,3;0,57;0,89;0,42;0,0;0,62;0,73;0,47;0,73;2,03;2,08;0,1;63,75;3,02;0,89;0,16;0,16;37,6;0,21;0,94;0,16;41,93;3,75;4,11;0,47;0,16;1,25;0,31;1,04;1,35;-0,31;0,0;0,89;0,0;0,0;0,0;3,85;0,57
278,0;Alejandro Jiménez;es ESP;DF,FW;Milan;19,0;2005,0;14,1;0,8;0,8;1,3;2,1;0,0;0,07;0,07;0,0;0,07;0,06;0,09;0,15;0,06;0,15;Matches;33,3;1,07;0,36;0,0;0,0;22,1;0,06;-0,8;-0,8;80,1;86,4;84,9;63,5;1,3;-0,3;2,42;0,28;40,7;55,3;42,6;37,0;1,68;0,07;-0,64;18,7;14,2;4,5;0,32;-0,42;40,9;1,56;0,99;89,79;0,0;0,07;0,07;0,0;0,0;0,0;0,43;0,0;3,9;2,62;5,11;1,06;0,35;0,0;32,06;40,0;534,4;128,87;15,74;18,23;13,55;15,96;2,34;3,69;0,85;2,34;0,85;0,35;35,18;4,82;0,21;0,21;2,62;4,11;0,0;0,0;0,0;0,0;0,0;1,49;2,41;1,84;0,0;0,21;0,21;0,0;0,28;0,21;0,0;0,0;0,0;0,0;1,7;0,92;0,57;0,99;0,14;0,78;1,13;1,49;1,06;2,77;1,63;0,0;51,7;1,63;2,62;1,84;1,42;30,0;1,21;1,91;0,92;30,99;4,11;5,04;0,21;0,57;2,48;0,43;1,13;1,06;0,07;0,0;0,85;0,0;0,0;0,0;4,89;0,64
532,0;Alen Sherri;al ALB;GK;Cagliari;26,0;1997,0;6,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;Matches;;0,0;0,0;;;;;0,0;0,0;72,4;100,0;98,8;41,3;0,0;0,0;0,29;0,0;50,0;;;18,2;0,71;-0,58;-0,19;10,7;11,5;-0,8;-0,12;0,26;;1,01;1,01;90,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;23,62;32,61;593,77;422,61;5,8;5,8;11,45;11,59;6,23;15,07;0,14;0,29;0,0;0,0;22,03;10,58;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,29;0,29;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,14;0,0;0,14;0,0;0,0;0,14;0,14;0,0;0,14;0,29;0,14;0,0;35,36;30,72;0,0;0,0;0,0;19,86;0,0;0,0;0,0;16,67;12,9;12,9;0,87;0,0;;4,49;1,01;1,59;-0,58;0,0;0,0;0,0;0,0;0,0;2,17;0,0
49,0;Alessandro Bastoni;it ITA;DF;Inter;25,0;1999,0;26,7;0,8;0,8;2,3;3,2;0,04;0,19;0,22;0,04;0,22;0,03;0,09;0,12;0,03;0,12;Matches;15,4;0,49;0,07;0,08;0,5;13,3;0,06;0,2;0,2;88,4;95,4;92,7;66,9;2,8;2,7;2,66;0,41;66,7;43,8;31,3;70,2;2,15;1,61;1,52;49,2;24,2;25,0;0,94;0,46;64,7;1,24;1,16;89,93;0,04;0,19;0,22;0,04;0,0;0,0;0,22;0,04;2,32;6,07;3,11;0,49;0,07;0,0;73,63;83,33;1366,78;422,28;31,16;32,66;33,03;35,62;8,46;12,66;1,01;4,79;1,84;0,9;74,53;8,35;0,11;0,82;2,4;4,31;0,0;0,0;0,0;0,0;0,45;0,67;2,66;2,28;0,15;0,0;0,11;0,07;0,41;0,34;0,04;0,0;0,04;0,0;1,72;0,9;0,97;0,52;0,22;0,75;0,37;0,45;0,82;2,55;1,95;0,04;91,61;7,34;1,05;0,26;0,19;61,16;0,19;0,97;0,19;67,98;2,73;2,85;0,3;0,07;0,71;0,11;2,4;0,79;1,61;0,04;1,65;0,0;0,0;0,0;3,6;1,65
62,0;Alessandro Bianco;it ITA;MF;Monza;21,0;2002,0;28,9;1,3;1,3;1,2;2,5;0,03;0,0;0,03;0,03;0,03;0,04;0,04;0,09;0,04;0,09;Matches;23,1;0,9;0,21;0,04;0,17;23,7;0,05;-0,3;-0,3;86,2;88,2;93,1;72,3;1,3;-1,2;1,32;0,0;65,9;41,5;46,3;76,0;0,47;-1,42;-1,42;22,9;44,9;-21,9;-0,76;-0,45;36,4;1,18;1,0;89,97;0,03;0,0;0,03;0,03;0,0;0,0;0,31;0,0;1,21;4,33;0,83;0,9;0,21;0,0;45,47;52,77;893,36;222,8;14,74;16,71;24,12;25,92;5,61;7,75;0,62;4,81;0,55;0,1;49,76;2,77;0,14;0,45;0,8;0,14;0,0;0,0;0,0;0,0;0,24;0,8;1,31;1,14;0,03;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,76;0,97;0,9;0,59;0,28;0,93;0,48;0,9;0,76;2,53;1,83;0,14;62,91;3,36;0,48;0,59;0,66;41,04;0,14;1,38;0,83;44,6;2,63;2,91;0,59;0,17;1,04;0,03;0,66;2,08;-1,42;0,0;1,49;0,0;0,03;0,0;4,22;0,55
84,0;Alessandro Buongiorno;it ITA;DF;Napoli;25,0;1999,0;21,4;0,8;0,8;0,6;1,4;0,05;0,0;0,05;0,05;0,05;0,04;0,03;0,07;0,04;0,07;Matches;50,0;0,37;0,19;0,13;0,25;11,0;0,1;0,2;0,2;90,8;93,2;95,8;59,6;0,6;-0,6;0,89;0,09;75,0;14,3;42,9;56,3;2,14;0,89;0,11;31,7;18,1;13,6;0,64;0,05;67,2;1,03;1,03;89,91;0,05;0,0;0,05;0,05;0,0;0,0;0,09;0,0;1,26;3,83;0,37;0,37;0,19;0,0;54,25;59,77;951,82;297,34;21,21;22,76;29,63;30,93;2,9;4,86;0,23;3,13;0,14;0,0;57,15;2,48;0,0;0,09;0,05;0,14;0,0;0,0;0,0;0,0;0,14;0,37;0,89;0,84;0,0;0,0;0,0;0,0;0,09;0,09;0,0;0,0;0,0;0,0;1,82;1,07;1,21;0,56;0,05;1,12;0,37;0,56;1,64;3,46;3,41;0,09;69,58;5,84;0,7;0,05;0,14;42,15;0,05;0,61;0,37;49,49;4,07;4,07;0,93;0,0;;0,19;1,54;0,65;0,89;0,0;0,79;0,0;0,0;0,0;3,93;2,01
127,0;Alessandro Circati;au AUS;DF;Parma;20,0;2003,0;6,0;0,3;0,3;0,0;0,3;0,0;0,0;0,0;0,0;0,0;0,05;0,0;0,06;0,05;0,06;Matches;0,0;0,33;0,0;0,0;;7,5;0,16;-0,3;-0,3;86,0;86,5;91,7;66,7;0,0;0,0;0,5;0,0;50,0;;;15,8;1,33;0,0;0,44;8,9;8,9;0,0;-0,01;0,41;81,0;1,0;1,0;90,0;0,0;0,0;0,0;0,0;0,0;0,0;0,17;0,0;0,17;1,67;0,0;0,33;0,0;0,0;32,83;38,17;628,83;176,33;10,67;12,33;18,33;20,0;3,0;4,5;0,17;1,0;0,0;0,0;33,67;4,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,17;0,5;0,33;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,17;0,83;1,0;0,17;0,0;0,17;0,17;0,17;0,5;1,67;7,0;0,17;50,17;11,5;0,5;0,0;0,0;20,5;0,0;0,67;0,33;26,33;15,0;15,0;1,0;0,0;;1,0;1,5;1,5;0,0;0,0;0,67;0,0;0,0;0,0;1,83;2,83
162,0;Alessandro Deiola;it ITA;MF;Cagliari;28,0;1995,0;15,9;1,7;1,7;0,6;2,4;0,13;0,06;0,19;0,13;0,19;0,11;0,04;0,15;0,11;0,15;Matches;27,8;1,13;0,31;0,11;0,4;18,1;0,1;0,3;0,3;73,4;82,7;78,0;58,6;0,7;0,4;1,63;0,19;31,3;75,0;25,0;41,9;0,83;-0,38;0,08;18,8;25,1;-6,3;-0,4;-0,11;56,1;1,82;1,01;90,06;0,13;0,06;0,19;0,13;0,0;0,0;0,38;0,0;0,69;2,52;2,26;1,13;0,31;0,0;24,15;32,89;411,95;118,3;11,13;13,46;10,06;12,89;2,14;3,65;0,38;2,83;0,5;0,06;31,95;0,82;0,13;0,44;0,88;0,44;0,0;0,0;0,0;0,0;0,13;1,26;1,64;1,19;0,06;0,0;0,13;0,06;0,19;0,13;0,0;0,0;0,0;0,0;1,95;1,26;0,69;1,07;0,19;0,63;1,38;0,88;0,82;2,77;2,39;0,0;43,14;3,08;1,26;0,19;0,06;20,88;0,06;0,94;0,69;25,03;3,08;4,65;0,31;0,82;1,26;0,5;1,01;1,38;-0,38;0,0;2,01;0,0;0,0;0,0;4,28;2,33
601,0;Alessandro Vogliacco;it ITA;DF;Genoa;25,0;1998,0;7,9;1,3;1,3;0,0;1,4;0,25;0,0;0,25;0,25;0,25;0,17;0,0;0,17;0,17;0,17;Matches;40,0;0,63;0,25;0,4;1,0;10,6;0,27;0,7;0,7;78,0;88,2;84,2;54,7;0,2;0,0;0,76;0,0;83,3;0,0;100,0;20,9;1,17;-1,13;-1,03;7,7;13,2;-5,5;-0,69;-0,53;57,9;1,52;1,01;90,51;0,25;0,0;0,25;0,25;0,0;0,0;0,38;0,0;1,14;3,29;0,25;0,63;0,25;0,0;33,67;43,16;668,1;268,48;12,28;13,92;16,2;19,24;4,43;8,1;0,13;4,43;0,51;0,38;40,38;2,66;0,0;0,51;1,39;2,03;0,0;0,0;0,0;0,0;0,13;1,01;0,76;0,51;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,9;0,38;0,89;0,89;0,13;1,27;0,25;0,51;1,14;3,04;2,53;0,0;51,52;4,68;0,63;0,0;0,13;26,33;0,13;0,25;0,13;32,66;7,59;9,49;0,63;0,51;3,67;0,89;0,63;1,77;-1,14;0,0;1,52;0,0;0,13;0,0;2,53;1,39
